id1	text	label	triples	id2
text_0	到了中转站，我要开始登山了，2000多的台阶，我来了，天池我来了。	1	[['登山', '觉得快乐', 'Causes'], ['登山', '非常勤奋', 'HasProperty']]	[1, 1]
text_1	大足石刻在重庆市大足县，距重庆约160公里。	0	[]	[]
text_2	ViviCheung8810:转发微博。	0	[]	[]
text_3	据腾讯财经援引知情人士消息报道，贾跃亭夫妇及乐视系3家公司的12.37亿资产于上周被司法冻结，引发业内高度关注。	2	[['妨碍司法公正', '公司', 'HasSubevent'], ['焦虑症者', '公司', 'HasSubevent'], ['下降的', '公司', 'HasSubevent'], ['被人嘲笑', '被', 'HasSubevent'], ['公司', '银器丢失', 'HasSubevent'], ['公司', '讨厌上司', 'HasSubevent'], ['公司', '介于刺激与反应之间的时间', 'Causes'], ['公司', '高误差或销售额', 'HasSubevent']]	[2, 2, 2, 2, 1, 1, 1, 1]
text_4	那就不晓得了，等她看见了这些议论，自己来做结论	2	[['一般人穿衣服的时候别人', '看见', 'CapableOf']]	[2]
text_5	四四方方，所有的院落组合在一起，从空中看下去就是一个大大的王字。	1	[]	[]
text_6	先总统所在地，是非功过后人评，一代人做一代人的事。	0	[]	[]
text_7	二维码买票是38元，我们在APP上买是33元人，买第二张是36元。	0	[]	[]
text_8	我打电话了对方不告诉我么样搞，我不知道找哪个部门	2	[['有事情', '打电话', 'HasSubevent'], ['撂人打架时', '打电话', 'CapableOf'], ['被诈骗', '打电话', 'HasSubevent'], ['打电话', '交代事情', 'MotivatedByGoal'], ['打电话', '听到对方声音', 'HasSubevent'], ['打电话', '另一个呼叫者失败通过', 'HasSubevent'], ['打电话', '沟通事情', 'MotivatedByGoal']]	[2, 2, 2, 1, 1, 1, 1]
text_9	原文评论[1]转发理由:老宋说事原说是嫁了个好人家，指望能从智能手机行当里头稍稍冒点头呢，这下可好，成了单亲妈不说，还搭上债务了	2	[]	[]
text_10	佛教的标志跟这个好像是反方向的吧？你啥眼神？	2	[]	[]
text_11	完全不值得一看，和阳朔那边的杨堤到兴坪的漂流没法比。	2	[]	[]
text_12	和洛阳的龙门石窟如出一辙，又不完全相同。	1	[]	[]
text_13	布达拉宫的夜景，蓦然回首，那人就在灯火阑珊处。	0	[]	[]
text_14	等了2年才审，审完就tmd这么个结果，这jb活真没法干了	2	[]	[]
text_15	钱泳辰:北京稻草熊影视长春晚报讯钱泳辰quot;	0	[]	[]
text_16	亲我回来啦你给放假啦等的哪天约出来噻我们给喝翻的	1	[['和朋友见面', '放假', 'MotivatedByGoal'], ['回家探望亲人', '放假', 'MotivatedByGoal'], ['开心', '放假', 'MotivatedByGoal'], ['悠闲的喝杯咖', '放假', 'MotivatedByGoal'], ['睡到自然醒', '放假', 'MotivatedByGoal'], ['放假', '想要快乐', 'MotivatedByGoal'], ['放假', '永远不收假', 'Desires']]	[2, 2, 2, 2, 2, 1, 1]
text_17	中青报周凯:转发微博中青微观奥运	0	[]	[]
text_18	同感尤其是婚后瞒着老婆孩子出去包养小白脸的老男	2	[['出去', '办事情', 'MotivatedByGoal'], ['孩子', '贫困母亲', 'CapableOf'], ['孩子', '贵族人的建议', 'CapableOf'], ['孩子', '装腔作势的', 'HasProperty'], ['孩子', '贪婪的', 'HasProperty'], ['孩子', '可怕的怪物下床', 'CapableOf'], ['孩子', '尝试愚昧父母', 'CapableOf'], ['孩子', '遭受极大的痛苦', 'CapableOf']]	[1, 1, 1, 1, 1, 1, 1, 1]
text_19	地址：柏树林店：柏树林大街10号尚勤路店：东七路尚勤路十字。	0	[]	[]
text_20	大饱口福就是餐馆的名字啦，是吃到饱的自助餐喔。	1	[['餐馆', '夜间开放', 'HasProperty'], ['餐馆', '温顺的朋友', 'UsedFor'], ['餐馆', '等待朋友', 'UsedFor'], ['餐馆', '获取食物', 'UsedFor']]	[1, 1, 1, 1]
text_21	嚴REX俊:转发微博野水横木	0	[]	[]
text_22	如果就是走马观花的话，我建议，中轴线看完，一直到子超楼。	0	[]	[]
text_23	再提下，最最不能忍的是，涠洲岛海边的岩石上全是密密匝匝海蟑螂，吓死人，密恐请勿靠近	2	[['环境脏乱', '蟑螂', 'Causes'], ['脏乱的房间', '蟑螂', 'Causes'], ['蟑螂', '制造脏乱', 'CapableOf'], ['蟑螂', '吓坏人', 'CapableOf'], ['蟑螂', '吓坏宠物', 'CapableOf'], ['蟑螂', '吓坏小孩', 'CapableOf'], ['蟑螂', '被杀虫剂喷', 'CapableOf'], ['岩石', '严厉的', 'HasProperty']]	[2, 2, 1, 1, 1, 1, 1, 1]
text_24	1998年夏天来南京旅游，参加了一日游，游览了南京的总统府。	0	[]	[]
text_25	来呼伦贝尔旅游，选择呼伦贝尔人自己的车队福特翼虎车队。	0	[]	[]
text_26	奥运会于英国时间的今天(7月27)就开幕了	1	[]	[]
text_27	你们在干吗？吴总那？给我订个包厢我来唱歌了	1	[['开电脑放歌', '唱歌', 'MotivatedByGoal'], ['找朋友一起去', '唱歌', 'MotivatedByGoal'], ['约朋友去', '唱歌', 'MotivatedByGoal'], ['找朋友去唱', '唱歌', 'MotivatedByGoal'], ['找朋友一起唱', '唱歌', 'MotivatedByGoal'], ['约朋友唱歌', '唱歌', 'MotivatedByGoal'], ['唱歌', '打线上游戏', 'MotivatedByGoal']]	[2, 2, 2, 2, 2, 2, 1]
text_28	我认为哥哥的做法没有什么不对。刘坚你认为呢？	1	[['打造更美好的世界', '认为', 'HasSubevent'], ['更好地理解', '认为', 'HasSubevent'], ['排队等候', '认为', 'HasSubevent'], ['大多数人', '认为', 'CapableOf'], ['衷心的敬意', '认为', 'HasSubevent'], ['表情丰富的谈论', '认为', 'HasSubevent'], ['认为', '问题可以解决', 'HasSubevent'], ['哥哥', '帮忙家事', 'CapableOf']]	[2, 2, 2, 2, 2, 2, 1, 1]
text_29	不然是你的啊？那么白的手拍出来就是这个鬼样子	2	[['手', '发狂的', 'HasProperty']]	[1]
text_30	随着乐视网(行情300104,诊股)的波折不断，踩雷乐视系的私募也越来越没法淡定了。	2	[]	[]
text_31	我吃了一次，吃完就吐了。至今也不想再看见那东西。	1	[['享受公司的朋友', '看见', 'MotivatedByGoal'], ['小安安好可爱', '吐', 'HasSubevent'], ['吐', '不舒服', 'MotivatedByGoal'], ['吐', '身体不舒服', 'MotivatedByGoal']]	[2, 2, 1, 1]
text_32	你在大唐西市？哪里卖这个？我中么不知道？	2	[]	[]
text_33	竞争比例也由1994年的987581，提文章详情	0	[]	[]
text_34	怎么会的啦你是不是汤跟奶茶一起吃的呀？	1	[]	[]
text_35	kulaj:我擦，右边的是什么	0	[]	[]
text_36	贾跃亭到底多缺钱：1个月2次质押美国豪宅不惜高利率媒体调查梳理发现，在6月这一个月时间里，贾跃亭先后做了两笔质押贷款。	2	[['定罪怀疑犯罪', '调查', 'HasSubevent'], ['有负债的人', '贷款', 'Desires'], ['贫困时', '贷款', 'HasSubevent'], ['赌博', '缺钱', 'Causes'], ['缺钱', '抢劫', 'Causes'], ['缺钱', '有人搞诈骗', 'HasSubevent']]	[2, 2, 2, 2, 1, 1]
text_37	在双子座身边待久了，这点新闻敏感性还是有的。	1	[]	[]
text_38	FerrisWheel.读FAIR-RIS。	0	[]	[]
text_39	失眠了原因竟然是冷[泪]盼着暖气也盼来了雾霾北京的冬天真难熬想去海南冬眠	2	[['难过', '失眠', 'HasSubevent'], ['到达僵局', '想', 'HasSubevent'], ['拼图', '想', 'HasSubevent'], ['糟糕的', '冷', 'MotivatedByGoal'], ['起鸡皮疙瘩', '冷', 'MotivatedByGoal'], ['黝暗', '雾', 'Synonym'], ['失眠', '有事情牵挂', 'MotivatedByGoal'], ['失眠', '在想事情', 'MotivatedByGoal'], ['失眠', '感觉很差', 'Causes'], ['失眠', '事情做不好', 'Causes'], ['失眠', '皮肤变差', 'Causes'], ['失眠', '很烦恼', 'Causes'], ['想', '有人作弊', 'HasSubevent'], ['冷', '听到笑话', 'MotivatedByGoal'], ['冷', '有人讲笑话', 'HasSubevent'], ['冷', '起鸡皮疙瘩', 'Causes'], ['冬天', '寒冷的天气', 'Causes'], ['冬天', '手脚冰冷', 'HasSubevent'], ['冬眠', '消耗脂肪', 'Causes']]	[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
text_40	2013年国家公务员考试报名24日18:00结束。	0	[]	[]
text_41	有接近韬蕴资本的知情人士透露，本次易到司机提现资金断流，是因为乐视要把此前以易到名义抵押借款的14亿元债务转给韬蕴，但此举遭到韬蕴资本CEO温晓东的??	2	[['卷入事故', '债务', 'Causes']]	[2]
text_42	二笙AkatinFanClub:阿啊啊啊啊啊	0	[]	[]
text_43	什么时间呀，我只知道今天有，但是不知道几点啦	2	[]	[]
text_44	程竹chengzhu:转发微博最体育2001年，年仅9岁的内马尔偶遇贝克汉姆，留下了一张合影。	0	[]	[]
text_45	松赞林寺（门票115元，刚涨价了，太贵了）该寺依山而建，外形犹如一座古堡。	2	[['商品变贵', '涨价', 'HasSubevent']]	[2]
